Time (seconds),temp
601.59,23
1201.59,23
1801.59,23
2401.59,23
3001.59,23
3601.59,23
4201.59,23
4801.59,23
5401.59,23
6001.59,22
6601.59,22
7201.59,22
7801.59,22
8401.59,22
9001.59,22
9601.59,22
10201.59,22
10801.59,22
11401.59,22
12001.59,22
12601.59,22
13201.59,22
13801.59,22
14401.59,22
15001.59,22
15601.59,22
16201.59,22
16801.59,22
17401.59,22
18001.59,22
18601.59,22
19201.59,22
19801.59,22
20401.59,22
21001.59,22
21601.59,22
22201.59,22
22801.59,22
23401.59,22
24001.59,22
24601.59,22
25201.59,22
25801.59,22
26401.59,22
27001.59,22
27601.59,22
28201.59,22
28801.59,22
29401.59,22
30001.59,22
30601.59,22
31201.59,22
31801.59,22
32401.59,22
33001.59,22
33601.59,22
34201.59,22
34801.59,22
35401.59,22
36001.59,22
36601.59,22
37201.59,22
37801.59,22
38401.59,22
39001.59,22
39601.59,22
40201.59,22
40801.59,22
41401.59,22
42001.59,22
42601.59,22
43201.59,22
43801.59,22
44401.59,22
45001.59,22
45601.59,22
46201.59,22
46801.59,22
47401.59,22
48001.59,22
48601.59,22
49201.59,22
49801.59,22
50401.59,22
51001.59,23
51601.59,23
52201.59,23
52801.59,23
53401.59,23
54001.59,23
54601.59,23
55201.59,24
55801.59,24
56401.59,24
57001.59,24
57601.59,24
58201.59,24
58801.59,23
59401.59,23
60001.59,23
60601.59,24
61201.59,23
61801.59,23
62401.59,23
63001.59,24
63601.59,24
64201.59,24
64801.59,24
65401.59,24
66001.59,24
66601.59,24
67201.59,24
67801.59,24
68401.59,24
69001.59,24
69601.59,24
70201.59,24
70801.59,24
71401.59,24
72001.59,24
72601.59,24
73201.59,24
73801.59,24
74401.59,24
75001.59,24
75601.59,24
76201.59,24
76801.59,23
77401.59,24
78001.59,24
78601.59,24
79201.59,24
79801.59,24
80401.59,24
81001.59,24
81601.59,24
82201.59,24
82801.59,24
83401.59,24
84001.59,24
84601.59,24
85201.59,24
85801.59,24
86401.59,24
87001.59,24
