Gforce,Wattage,Frame,Amperage,t_s,dt_s,a_z,voltage_V,a_z_smooth,delta_v,delta_h,thrust_N,thrust_per_W
2.9,129.0,2,8.26,0.06666666666666667,0.0,18.639,15.617433414043584,21.909000000000002,0.0,0.0,6.82776,0.05292837209302325
3.4,279.0,3,,0.1,0.03333333333333333,23.544,,22.563000000000002,0.7412000000000003,0.012353333333333341,8.00496,0.02869161290322581
3.4,,7,14.46,0.23333333333333334,0.13333333333333333,23.544,,22.7592,3.7626800000000005,0.312612,8.00496,
3.5,,8,18.53,0.26666666666666666,0.03333333333333333,24.525000000000002,,23.151600000000002,4.52786,0.45078766666666664,8.240400000000001,
3.4,318.0,10,21.42,0.3333333333333333,0.06666666666666667,23.544,14.845938375350139,21.778200000000002,6.02552,0.8025669999999999,8.00496,0.025172830188679246
3.1,330.0,13,22.38,0.43333333333333335,0.1,20.601000000000003,14.745308310991957,19.62,8.09543,1.5086145000000002,7.298640000000001,0.022117090909090913
2.7,309.0,15,21.14,0.5,0.06666666666666667,16.677000000000003,14.616840113528855,16.677000000000003,9.30533,2.0886398333333336,6.35688,0.02057242718446602
2.3,296.0,18,20.34,0.6,0.1,12.752999999999998,14.552605703048181,13.734,10.82588,3.0952003333333336,5.41512,0.018294324324324325
2.0,290.0,20,20.02,0.6666666666666666,0.06666666666666667,9.81,14.485514485514486,10.9872,11.64992,3.844393666666667,4.7088,0.016237241379310347
1.9,289.0,22,20.02,0.7333333333333333,0.06666666666666667,8.828999999999999,14.435564435564435,8.829,12.310459999999999,4.643073,4.47336,0.015478754325259515
1.7,261.0,25,18.18,0.8333333333333334,0.1,6.867,14.356435643564357,7.0632,13.10507,5.913849500000001,4.00248,0.015335172413793105
1.6,266.0,29,18.5,0.9666666666666667,0.13333333333333333,5.886000000000001,14.378378378378379,5.6898,13.955269999999999,7.717872166666668,3.76704,0.014161804511278197
1.4,251.0,34,17.61,1.1333333333333333,0.16666666666666666,3.9239999999999995,14.253265190232822,4.3164,14.789119999999999,10.113238,3.29616,0.01313211155378486
1.3,246.0,42,17.42,1.4,0.26666666666666666,2.9430000000000005,14.12169919632606,3.1392000000000007,15.783199999999999,14.189547333333334,3.0607200000000003,0.012441951219512196
1.2,269.0,50,19.18,1.6666666666666667,0.26666666666666666,1.9619999999999997,14.02502606882169,1.9620000000000004,16.463359999999998,18.489088666666667,2.82528,0.010502899628252788
1.1,267.0,56,19.1,1.8666666666666667,0.2,0.9810000000000009,13.979057591623036,1.4715000000000005,16.80671,21.816095666666666,2.58984,0.009699775280898876
1.0,257.0,61,18.42,2.033333333333333,0.16666666666666666,0.0,13.952225841476654,0.9810000000000004,17.011084999999998,24.634245249999996,2.3544,0.009161089494163424
